2023/04/28 03:52:46 PM, INFO, mealpy.evolutionary_based.DE.SHADE: Solving single objective optimization problem.
2023/04/28 03:52:46 PM, WARNING, mealpy.evolutionary_based.DE.SHADE: The parallel mode: thread is selected. But n_workers is not set. The default n_workers = 4 is used.
2023/04/28 03:53:03 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 32, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.52453 seconds
2023/04/28 03:53:04 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 33, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.51277 seconds
2023/04/28 03:53:04 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 34, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.51567 seconds
2023/04/28 03:53:05 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 35, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.54102 seconds
2023/04/28 03:53:05 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 36, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.50962 seconds
2023/04/28 03:53:06 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 37, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.52363 seconds
2023/04/28 03:53:06 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 38, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.51457 seconds
2023/04/28 03:53:07 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 39, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.53035 seconds
2023/04/28 03:53:08 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 40, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.51198 seconds
2023/04/28 03:53:08 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 41, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.50994 seconds
2023/04/28 03:53:09 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 42, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.54507 seconds
2023/04/28 03:53:09 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 43, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.52614 seconds
2023/04/28 03:53:10 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 44, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.51371 seconds
2023/04/28 03:53:10 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 45, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.51076 seconds
2023/04/28 03:53:11 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 46, Current best: 4312.689800624905, Global best: 4312.689800624905, Runtime: 0.53818 seconds
2023/04/28 03:53:11 PM, INFO, mealpy.evolutionary_based.DE.SHADE: >Problem: P, Epoch: 47, Current best: 3987.7671265753042, Global best: 3987.7671265753042, Runtime: 0.51028 seconds
